database_read: current memory usage is 0.18945MB; Peak was 0.190316MB
sample: current memory usage is 0.400601MB; Peak was 0.405584MB
selection_method: current memory usage is 0.001552MB; Peak was 0.001672MB
crossover_method: current memory usage is 0.108008MB; Peak was 0.108184MB
mutation_method: current memory usage is 0.010216MB; Peak was 0.010392MB
reinsertion_method: current memory usage is 0.003586MB; Peak was 0.010575MB
database_update: current memory usage is 0.007642MB; Peak was 0.025592MB
database_read: current memory usage is 0.182134MB; Peak was 0.183MB
sample: current memory usage is 0.235309MB; Peak was 0.241401MB
selection_method: current memory usage is 0.000608MB; Peak was 0.000728MB
crossover_method: current memory usage is 0.106244MB; Peak was 0.10642MB
mutation_method: current memory usage is 0.009576MB; Peak was 0.009752MB
reinsertion_method: current memory usage is 0.003082MB; Peak was 0.010071MB
database_update: current memory usage is 0.012863MB; Peak was 0.030813MB
database_read: current memory usage is 0.181673MB; Peak was 0.182539MB
sample: current memory usage is 0.22734MB; Peak was 0.233432MB
selection_method: current memory usage is 0.000608MB; Peak was 0.000728MB
crossover_method: current memory usage is 0.105704MB; Peak was 0.10588MB
mutation_method: current memory usage is 0.010216MB; Peak was 0.010392MB
reinsertion_method: current memory usage is 0.003082MB; Peak was 0.010071MB
database_update: current memory usage is 0.010138MB; Peak was 0.028024MB
database_read: current memory usage is 0.185011MB; Peak was 0.185877MB
sample: current memory usage is 0.23413MB; Peak was 0.239521MB
selection_method: current memory usage is 0.000608MB; Peak was 0.000728MB
crossover_method: current memory usage is 0.106544MB; Peak was 0.10672MB
mutation_method: current memory usage is 0.010216MB; Peak was 0.010392MB
reinsertion_method: current memory usage is 0.003082MB; Peak was 0.010071MB
database_update: current memory usage is 0.009586MB; Peak was 0.027536MB
database_read: current memory usage is 0.181517MB; Peak was 0.182383MB
sample: current memory usage is 0.22024MB; Peak was 0.226332MB
selection_method: current memory usage is 0.000608MB; Peak was 0.000728MB
crossover_method: current memory usage is 0.105704MB; Peak was 0.10588MB
mutation_method: current memory usage is 0.009576MB; Peak was 0.009752MB
reinsertion_method: current memory usage is 0.003082MB; Peak was 0.010071MB
database_update: current memory usage is 0.009178MB; Peak was 0.027128MB
database_read: current memory usage is 0.184298MB; Peak was 0.185164MB
sample: current memory usage is 0.215113MB; Peak was 0.221205MB
selection_method: current memory usage is 0.000608MB; Peak was 0.000728MB
crossover_method: current memory usage is 0.10578MB; Peak was 0.105956MB
mutation_method: current memory usage is 0.009896MB; Peak was 0.010392MB
reinsertion_method: current memory usage is 0.003082MB; Peak was 0.010071MB
database_update: current memory usage is 0.009498MB; Peak was 0.027448MB
database_read: current memory usage is 0.182251MB; Peak was 0.183117MB
sample: current memory usage is 0.21699MB; Peak was 0.223082MB
selection_method: current memory usage is 0.000608MB; Peak was 0.000728MB
crossover_method: current memory usage is 0.104112MB; Peak was 0.104288MB
mutation_method: current memory usage is 0.010216MB; Peak was 0.010392MB
reinsertion_method: current memory usage is 0.003082MB; Peak was 0.010071MB
database_update: current memory usage is 0.007066MB; Peak was 0.025016MB
database_read: current memory usage is 0.187431MB; Peak was 0.188297MB
sample: current memory usage is 0.216486MB; Peak was 0.222578MB
selection_method: current memory usage is 0.000608MB; Peak was 0.000728MB
crossover_method: current memory usage is 0.105704MB; Peak was 0.10588MB
mutation_method: current memory usage is 0.009576MB; Peak was 0.009752MB
reinsertion_method: current memory usage is 0.003082MB; Peak was 0.010071MB
database_update: current memory usage is 0.007962MB; Peak was 0.025848MB
database_read: current memory usage is 0.181187MB; Peak was 0.182053MB
sample: current memory usage is 0.21615MB; Peak was 0.221541MB
selection_method: current memory usage is 0.000608MB; Peak was 0.000728MB
crossover_method: current memory usage is 0.104952MB; Peak was 0.105128MB
mutation_method: current memory usage is 0.009896MB; Peak was 0.010392MB
reinsertion_method: current memory usage is 0.003082MB; Peak was 0.010071MB
database_update: current memory usage is 0.00713MB; Peak was 0.02508MB
database_read: current memory usage is 0.181106MB; Peak was 0.181972MB
sample: current memory usage is 0.215561MB; Peak was 0.221653MB
selection_method: current memory usage is 0.000608MB; Peak was 0.000728MB
crossover_method: current memory usage is 0.105792MB; Peak was 0.105968MB
mutation_method: current memory usage is 0.009896MB; Peak was 0.010072MB
reinsertion_method: current memory usage is 0.003082MB; Peak was 0.010071MB
database_update: current memory usage is 0.008858MB; Peak was 0.026808MB
database_read: current memory usage is 0.181106MB; Peak was 0.181972MB
sample: current memory usage is 0.215561MB; Peak was 0.221653MB
selection_method: current memory usage is 0.000608MB; Peak was 0.000728MB
crossover_method: current memory usage is 0.106068MB; Peak was 0.106244MB
mutation_method: current memory usage is 0.010216MB; Peak was 0.010392MB
reinsertion_method: current memory usage is 0.003082MB; Peak was 0.010071MB
database_update: current memory usage is 0.008968MB; Peak was 0.026918MB
database_read: current memory usage is 0.181106MB; Peak was 0.181972MB
sample: current memory usage is 0.215561MB; Peak was 0.221653MB
selection_method: current memory usage is 0.000608MB; Peak was 0.000728MB
crossover_method: current memory usage is 0.105792MB; Peak was 0.105968MB
mutation_method: current memory usage is 0.010216MB; Peak was 0.010392MB
reinsertion_method: current memory usage is 0.003082MB; Peak was 0.010071MB
database_update: current memory usage is 0.009178MB; Peak was 0.027128MB
database_read: current memory usage is 0.181106MB; Peak was 0.181972MB
sample: current memory usage is 0.215561MB; Peak was 0.221653MB
selection_method: current memory usage is 0.000608MB; Peak was 0.000728MB
crossover_method: current memory usage is 0.105782MB; Peak was 0.105958MB
mutation_method: current memory usage is 0.010216MB; Peak was 0.010392MB
reinsertion_method: current memory usage is 0.003082MB; Peak was 0.010071MB
database_update: current memory usage is 0.009178MB; Peak was 0.027128MB
database_read: current memory usage is 0.181106MB; Peak was 0.181972MB
sample: current memory usage is 0.215561MB; Peak was 0.221653MB
selection_method: current memory usage is 0.000608MB; Peak was 0.000728MB
crossover_method: current memory usage is 0.10588MB; Peak was 0.106056MB
mutation_method: current memory usage is 0.009896MB; Peak was 0.010072MB
reinsertion_method: current memory usage is 0.003082MB; Peak was 0.010071MB
database_update: current memory usage is 0.009114MB; Peak was 0.027064MB
database_read: current memory usage is 0.181134MB; Peak was 0.182MB
sample: current memory usage is 0.215673MB; Peak was 0.221765MB
selection_method: current memory usage is 0.000608MB; Peak was 0.000728MB
crossover_method: current memory usage is 0.105704MB; Peak was 0.10588MB
mutation_method: current memory usage is 0.009896MB; Peak was 0.010392MB
reinsertion_method: current memory usage is 0.003082MB; Peak was 0.010071MB
database_update: current memory usage is 0.015626MB; Peak was 0.033537MB
database_read: current memory usage is 0.181215MB; Peak was 0.182053MB
sample: current memory usage is 0.215646MB; Peak was 0.221037MB
selection_method: current memory usage is 0.000608MB; Peak was 0.000728MB
crossover_method: current memory usage is 0.106632MB; Peak was 0.106808MB
mutation_method: current memory usage is 0.010216MB; Peak was 0.010392MB
reinsertion_method: current memory usage is 0.003082MB; Peak was 0.010071MB
database_update: current memory usage is 0.008858MB; Peak was 0.026744MB
database_read: current memory usage is 0.181187MB; Peak was 0.182053MB
sample: current memory usage is 0.216262MB; Peak was 0.221653MB
selection_method: current memory usage is 0.000608MB; Peak was 0.000728MB
crossover_method: current memory usage is 0.106544MB; Peak was 0.10672MB
mutation_method: current memory usage is 0.009896MB; Peak was 0.010072MB
reinsertion_method: current memory usage is 0.003082MB; Peak was 0.010071MB
database_update: current memory usage is 0.009142MB; Peak was 0.027092MB
