Current memory usage is 0.02004MB; Peak was 0.023774MB
Current memory usage is 0.009927MB; Peak was 0.013661MB
Current memory usage is 0.009368MB; Peak was 0.013102MB
Current memory usage is 0.008848MB; Peak was 0.012582MB
Current memory usage is 0.008896MB; Peak was 0.01263MB
Current memory usage is 0.00896MB; Peak was 0.012772MB
Current memory usage is 0.009912MB; Peak was 0.013633MB
Current memory usage is 0.008952MB; Peak was 0.012686MB
Current memory usage is 0.009344MB; Peak was 0.013078MB
Current memory usage is 0.008824MB; Peak was 0.012558MB
Current memory usage is 0.008824MB; Peak was 0.012558MB
Current memory usage is 0.008824MB; Peak was 0.012558MB
Current memory usage is 0.009018MB; Peak was 0.012752MB
Current memory usage is 0.008824MB; Peak was 0.012558MB
Current memory usage is 0.008824MB; Peak was 0.012558MB
Current memory usage is 0.008792MB; Peak was 0.012526MB
Current memory usage is 0.008792MB; Peak was 0.012526MB
Current memory usage is 0.00916MB; Peak was 0.012894MB
Current memory usage is 0.009312MB; Peak was 0.013046MB
Current memory usage is 0.009312MB; Peak was 0.013046MB
Current memory usage is 0.008792MB; Peak was 0.012526MB
Current memory usage is 0.008778MB; Peak was 0.01251MB
Current memory usage is 0.00878MB; Peak was 0.012512MB
Current memory usage is 0.00878MB; Peak was 0.012512MB
Current memory usage is 0.00878MB; Peak was 0.012512MB
Current memory usage is 0.009658MB; Peak was 0.01339MB
Current memory usage is 0.008778MB; Peak was 0.01251MB
Current memory usage is 0.008778MB; Peak was 0.01251MB
Current memory usage is 0.009034MB; Peak was 0.012766MB
Current memory usage is 0.009228MB; Peak was 0.01296MB
Current memory usage is 0.009276MB; Peak was 0.013008MB
Current memory usage is 0.008778MB; Peak was 0.01251MB
Current memory usage is 0.008778MB; Peak was 0.01251MB
Current memory usage is 0.008778MB; Peak was 0.01251MB
Current memory usage is 0.008778MB; Peak was 0.01251MB
Current memory usage is 0.008778MB; Peak was 0.01251MB
Current memory usage is 0.008778MB; Peak was 0.01251MB
Current memory usage is 0.008778MB; Peak was 0.01251MB
Current memory usage is 0.008778MB; Peak was 0.01251MB
Current memory usage is 0.009034MB; Peak was 0.012766MB
Current memory usage is 0.009226MB; Peak was 0.012958MB
Current memory usage is 0.009274MB; Peak was 0.013006MB
Current memory usage is 0.008907MB; Peak was 0.012615MB
Current memory usage is 0.008843MB; Peak was 0.012578MB
Current memory usage is 0.00885MB; Peak was 0.01259MB
Current memory usage is 0.008778MB; Peak was 0.01251MB
Current memory usage is 0.008778MB; Peak was 0.01251MB
Current memory usage is 0.008778MB; Peak was 0.01251MB
Current memory usage is 0.008826MB; Peak was 0.01256MB
Current memory usage is 0.008798MB; Peak was 0.012532MB
Current memory usage is 0.008808MB; Peak was 0.012542MB
Current memory usage is 0.009064MB; Peak was 0.012798MB
Current memory usage is 0.009254MB; Peak was 0.012988MB
Current memory usage is 0.009262MB; Peak was 0.012996MB
Current memory usage is 0.008814MB; Peak was 0.012548MB
Current memory usage is 0.008816MB; Peak was 0.01255MB
